time,POACTPQM1T_kW,POACTPQM2_kW,POACTPQM3_kW,FREQPQM1_Hz,FREQPQM2_Hz,VABPQM1T_volt,VBCPQM1T_volt,VCAPQM1T_volt,VABPQM2_volt,VBCPQM2_volt,VCAPQM2_volt,VABPQM3_volt,VBCPQM3_volt,VCAPQM3_volt,AMPAPQM1T_amp,AMPBPQM1T_amp,AMPCPQM1T_amp,AMPAPQM2_amp,AMPBPQM2_amp,AMPCPQM2_amp,AMPAPQM3_amp,AMPBPQM3_amp,AMPCPQM3_amp,PORETPQM1T_kvar,PORETPQM2_kvar,PORETPQM3_kvar,FPTPQM1T,FPTPQM2,FPTPQM3,DESVMPM1_%,DESAMPM1_%,DESVMPM2_%,DESAMPM2_%,DESVMPM3_%,DESAMPM3_%,THDVTPQM1T,THDITPQM1T,THDI11PQM1,THDI3PQM1,THDI5PQM1,THDI7PQM1,THDI9PQM1,THDITPQM1,THDV11PQM1,THDV3PQM1,THDV5PQM1,THDV7PQM1,THDV9PQM1,THDVTPQM1,TEMPTUBXIN_degF,PDP_PSIG,PIP_PSIG,TPMOTOR_degF,HORAS_ON,HORAS_OFF,HORAS_TOT,POT_HID,VOLUMEN_LIQUIDO,AGUA,CRUDO,BSW
2022-11-26T12:57:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-26T13:00:00.000Z,478.9,448.7,,,56.9,482.95,484.9,483.55,,,433.9,,3023,2916,,631.4,622.5,787.7,784.2,784.7,112.9,,,63.1,392,271.6,91.55,75.2,,0.459427208,,,0.275821098,,,41.35,65.95,3.4,1.2,38.5,11.4,4.5,41.1,,,,,,9.2,200.65,2456.9,1001.9,251.2,,,,235.6503872,,,,
2022-11-26T13:03:00.000Z,479.3,450.1,,,57,482.1,484.45,482.85,438.2,442.6,,2943,,2917,619.1,631.6,623.1,787.6,784,785,,,,68.7,390.6,272.5,91.7,75.4,,,1.120717259,,0.263090894,,,22.75,,3.2,1.8,38.3,12.4,4.8,,,,,,,22.2,200.68,2456.9,1001.9,251.2,,,,235.7763377,,,,
2022-11-26T13:06:00.000Z,479.5,450,,,56.9,481.4,483.15,481.75,,,434,2942,3024,,620,633,624.2,787.5,,784.7,112.8,,,57.1,390.7,272.4,,,,0.443113772,1.16130407,,,,,44.8,69.05,3.4,0.9,38.2,11.3,4.5,41,,,,,,9.3,200.66,2456.8,1003.5,252.3,,,,234.9567154,,,,
2022-11-26T13:09:00.000Z,479.4,450.3,449.9494949,,57,481.9,483.95,482.45,438,442.4,433.7,,3022,2916,619.2,,622.9,788.1,784.3,785.3,112.9,,,64.2,390.4,269.9,,75.5,89.1,0.490342642,,2.00369101,0.279933834,,,22.65,42.4,3,1.9,38,12.3,4.4,41.1,,,,,,21.9,200.66,2455.7,1002.1,253.9,,,,235.0401902,,,,
2022-11-26T13:12:00.000Z,479,450.5,,,56.9,,483.5,481.9,438.1,442.5,433.8,,,2917,619.3,634,623.5,787.9,784.1,784.9,,,,60.8,390,273.7,91.5,,88.8,0.526788387,1.342710997,,0.288514574,,,16.8,42.35,3.4,1,38.6,11.6,4.5,40.9,,,,,,9.3,200.62,2456.4,1003.6,252.8,,,,234.6805514,,,,
2022-11-26T13:15:00.000Z,,450.7,,,57,481.65,483.2,481.85,,,,2943,3024,,619.3,633.1,623.2,787.8,784.3,785,112.8,116.4,,72.4,389.9,274,,,,,1.263595649,,0.267277587,4.231669267,,22.95,,3.2,1.8,38.2,12.4,4.7,,,,,,,22.2,200.64,2457,1002.1,252.2,,,,233.8531387,,,,
2022-11-26T13:18:00.000Z,479.4,448.7,447.978354,,,481.7,483.6,482.2,438,442.4,,2942,3023,2916,619.3,633.1,623.3,787.9,784.2,784.9,112.9,,,58.3,392,274.5,,75.2,88.7,,1.25819694,,0.284259652,,,23.2,42.55,3,1,38.9,11.1,4.8,41.3,,,,,,22,200.64,2457,1002.1,252.2,,,,234.9961319,,,,
2022-11-26T13:21:00.000Z,,449.9,449.2583333,,,481.95,483.8,482.4,438.2,442.5,433.9,2944,,2918,619.6,632.3,622.8,788,784,784.6,112.8,,,70.7,390.7,273.7,91.65,75.4,88.8,0.448510944,1.18418947,1.976284585,0.314011712,,,22.65,42.4,3.2,1.8,38.2,12.4,4.7,41.1,,,,,,22.1,200.69,2454.8,1002.7,253.2,,,,235.3936661,,,,
2022-11-26T13:24:00.000Z,479,450.3,450.1974128,,,482.6,484.45,483.25,438.1,,,2943,,2917,,631.8,622.4,787.7,784.1,784.9,112.9,,,60.6,390.3,271.8,91.7,75.5,88.9,0.435898967,,,0.271566173,,,23.25,42.65,3,1.1,38.8,11,,41.4,,,,,,22.2,200.69,2457.5,1002.8,252.1,1,0,1,234.4187703,,,,
2022-11-26T13:27:00.000Z,479.1,450.4,,,,482.15,,482.85,,,,,,,,632.4,622.9,787.8,784.2,784.7,112.8,,,69.3,390.4,272.8,91.65,,88.8,0.460168529,,,0.284295837,,,22.9,42.4,,1.9,37.8,12.2,4.4,41.2,,,,,,22.5,200.65,2457.1,1002.5,253,,,,234.92253,,,,
2022-11-26T13:30:00.000Z,479.2,449.5,448.7541573,,56.9,482,,482.5,,442.4,433.8,2942,,,620.2,632.6,623.3,787.9,784,784.6,112.9,116.5,,56.9,390.9,271.1,91.65,75.3,89,,1.156654763,,0.305537874,,,46.1,,3.1,1.1,38.8,11,4.7,,,,,,,21.7,200.66,2457.3,1002.6,252.4,,,,234.5033161,,,,
2022-11-26T13:33:00.000Z,,450.6,450.1910936,,57,481.55,,482.1,438.4,442.8,434.1,2945,3026,2919,620,633.3,622.9,788,784.4,784.7,,116.4,,70.4,390.7,274.9,,75.5,88.7,,1.263191557,1.988411904,0.292732595,4.208065459,,22.4,42.15,3.3,1.8,38,12.3,4.6,40.9,,,,,,21.6,,2457.3,1002.6,252.4,,,,235.4501317,,,,
2022-11-26T13:36:00.000Z,479.2,451.2,450.7937008,,56.9,483.1,485.3,483.6,438,442.4,433.8,2942,3022,2917,617.9,631.3,621.5,788.2,784.2,784.8,,116.5,,61.4,389.1,271.7,91.6,75.6,88.9,0.548729572,1.240177474,1.977066034,0.313931783,4.194303551,,23.15,42.75,3.1,1,38.9,11.1,4.7,41.4,,,,,,21.8,200.73,2457,1002.4,252.1,,,,233.9565316,,,,
2022-11-26T13:39:00.000Z,479.2,449.8,449.6828829,,57,,485.2,,438.1,442.5,,2943,3023,,618.5,631.5,621.9,787.9,784.1,785.1,,,,71.6,391,273.2,91.5,75.4,88.8,0.536960802,1.207329451,,0.280005091,,,22.6,42.35,3.2,1.8,37.8,12.2,4.5,40.9,,,,,,21.6,200.73,2457.3,1002.6,253.1,,,,233.8648878,,,,
2022-11-26T13:42:00.000Z,479.7,450.7,,,,482.9,485.2,483.5,438,442.3,433.7,,,,617.7,631,621.8,788,,,,,,63.4,389.6,273.6,91.7,75.5,,0.560792268,1.202886929,1.990771259,,,,23.35,,3,0.9,38.8,11.1,4.6,41.2,,,,,,22.6,200.65,2456.5,,252.8,,,,234.2338776,,,,
2022-11-26T13:45:00.000Z,479.2,448.9,448.4961798,,56.9,482.75,485.35,483.7,,442.4,,,3024,,618.1,631.6,621.9,788.1,784.3,785.2,,,,70.3,392.1,271,91.55,75.2,89,0.608446671,1.239581107,1.989984186,0.284187309,,,22.7,42.45,3.3,1.8,38.1,12.4,,41,,,,,,22.2,200.65,2457.6,1002.6,251.3,,,,234.7928025,,,,
2022-11-26T13:48:00.000Z,479.6,451,,,,482.65,485.15,483.6,,,433.8,,3023,,618.4,631.3,,788.2,784.4,785,,116.4,,59.6,389.5,271.6,91.65,75.6,,0.554958826,,,0.296912114,,,23.3,,3.1,1,38.8,11,4.7,,,,,,,22.5,200.67,2457.6,1002.6,251.3,,,,234.6409338,,,,
2022-11-26T13:51:00.000Z,478.7,451.6,451.3015766,,57,482.3,485.4,,438.4,442.9,434.2,,,2916,618.4,631.4,622,787.6,783.9,784.6,,116.5,,72.8,389.1,273,91.45,75.7,88.8,,1.19670905,1.988411904,0.284368236,,,22.85,42.3,,1.9,37.9,12.3,4.4,40.9,,,,,,21.7,200.66,2457.1,1002.8,252.7,,,,234.6196081,,,,
2022-11-26T13:54:00.000Z,478.6,449.8,449.3466817,,,483.2,486.15,484.2,438.2,442.6,433.9,2944,3024,2918,617.4,630,620.5,787.7,,784.8,112.8,,,56.9,390.7,272.8,91.55,75.4,88.9,0.667341953,1.183146849,1.976284585,,4.170726954,,44.65,63.2,,1.1,38.8,11,4.7,41.3,,,,,,21.9,200.66,2456.5,1002.6,251.3,,,,235.1134151,,,,
2022-11-26T13:57:00.000Z,479.8,451.7,451.3015766,,56.9,482.4,485.8,,438.1,442.5,,,,,618.8,630.6,621.2,,784.1,785,112.9,,,64.1,388.8,273.6,,75.7,88.8,0.751610594,1.133326205,,,,,22.9,42.4,3.3,1.7,38.2,12.4,,40.9,,,,,,22.5,200.64,2456.7,1002.7,252.1,,,,235.0323935,,,,
2022-11-26T14:00:00.000Z,479.8,450.1,449.5098083,,57,482.2,485.3,483.6,,,433.8,,,,618.5,631.4,,787.8,,784.6,112.8,116.4,,55.4,390.4,274,,75.4,88.7,0.662488809,,,,,,44.15,68.7,3.5,1,38.4,11.5,4.4,41.1,,,,,,9.1,200.71,2456.6,1002.6,252.1,,,,234.1391608,,,,
2022-11-26T14:03:00.000Z,478.7,449.7,,,,482,485.3,483.2,438.2,442.6,433.9,,,2919,618.5,631.8,621.9,,783.9,784.9,,116.5,,64.7,391.1,274.6,91.45,75.3,,0.758344778,1.239183848,1.989197734,,,,22.75,42.45,3.3,1.8,37.9,12.3,4.6,41.2,,,,,,21.8,200.71,2456.6,,252.1,,,,235.2786384,,,,
2022-11-26T14:06:00.000Z,480.1,448.5,,,56.9,481.15,484.95,482.85,438,442.4,433.8,2943,3023,2918,619.5,632.4,622.6,788,784.3,784.7,112.9,,,63.7,392.3,274.7,91.85,75.2,,0.806885422,1.210989597,1.989984186,0.296987696,,,38.9,63.6,3.5,1,38.5,11.5,4.4,41,,,,,,9.1,200.65,2456,,252.6,,,,234.3809985,,,,
